"player_name","club_name","goals","assists","player_group"
"Bukayo Saka","Arsenal","16","9","Current player"
"Leandro Trossard","Arsenal","12","1","Current player"
"Martin Ødegaard","Arsenal","8","10","Current player"
"Gabriel Martinelli","Arsenal","6","4","Current player"
"Eddie Nketiah","Arsenal","5","2","Current player"
"Gabriel Jesus","Arsenal","4","5","Current player"
"Ben White","Arsenal","4","4","Current player"
"Gabriel Magalhães","Arsenal","4","0","Current player"
"Takehiro Tomiyasu","Arsenal","2","1","Current player"
"William Saliba","Arsenal","2","1","Current player"
"Jakub Kiwior","Arsenal","1","3","Current player"
"Oleksandr Zinchenko","Arsenal","1","2","Current player"
"Fábio Vieira","Arsenal","1","2","Current player"
"Emile Smith Rowe","Arsenal","0","2","Current player"
"Jorginho","Arsenal","0","2","Current player"
"Cédric Soares","Arsenal","0","0","Current player"
"Aaron Ramsdale","Arsenal","0","0","Current player"
"Reiss Nelson","Arsenal","0","0","Current player"
"Mohamed Elneny","Arsenal","0","0","Current player"
"Thomas Partey","Arsenal","0","0","Current player"
"Kai Havertz","Arsenal","13","7","New player"
"Declan Rice","Arsenal","7","9","New player"
"Jurrien Timber","Arsenal","0","0","New player"
"David Raya","Arsenal","0","0","New player"
"Ollie Watkins","Aston Villa","19","13","Current player"
"Leon Bailey","Aston Villa","10","9","Current player"
"Douglas Luiz","Aston Villa","9","5","Current player"
"John McGinn","Aston Villa","6","4","Current player"
"Jhon Durán","Aston Villa","5","0","Current player"
"Matty Cash","Aston Villa","2","2","Current player"
"Álex Moreno","Aston Villa","2","0","Current player"
"Lucas Digne","Aston Villa","1","3","Current player"
"Jacob Ramsey","Aston Villa","1","1","Current player"
"Leander Dendoncker","Aston Villa","1","0","Current player"
"Ezri Konsa","Aston Villa","1","0","Current player"
"Boubacar Kamara","Aston Villa","0","1","Current player"
"Calum Chambers","Aston Villa","0","1","Current player"
"Emiliano Martínez","Aston Villa","0","0","Current player"
"Diego Carlos","Aston Villa","0","0","Current player"
"Philippe Coutinho","Aston Villa","0","0","Current player"
"Robin Olsen","Aston Villa","0","0","Current player"
"Tim Iroegbunam","Aston Villa","0","0","Current player"
"Bertrand Traoré","Aston Villa","0","0","Current player"
"Jaden Philogene","Aston Villa","0","0","Current player"
"Tyrone Mings","Aston Villa","0","0","Current player"
"Cameron Archer","Aston Villa","0","0","Current player"
"Moussa Diaby","Aston Villa","6","8","New player"
"Morgan Rogers","Aston Villa","3","1","New player"
"Youri Tielemans","Aston Villa","2","6","New player"
"Nicolò Zaniolo","Aston Villa","2","0","New player"
"Pau Torres","Aston Villa","2","0","New player"
"Leander Dendoncker","Aston Villa","1","0","New player"
"Clément Lenglet","Aston Villa","0","1","New player"
"Kaine Kesler-Hayden","Aston Villa","0","0","New player"
"Philippe Coutinho","Aston Villa","0","0","New player"
"Dominic Solanke","Bournemouth","19","3","Current player"
"Antoine Semenyo","Bournemouth","8","2","Current player"
"Marcos Senesi","Bournemouth","4","5","Current player"
"Marcus Tavernier","Bournemouth","3","4","Current player"
"Philip Billing","Bournemouth","2","2","Current player"
"Dango Ouattara","Bournemouth","1","2","Current player"
"David Brooks","Bournemouth","1","1","Current player"
"Kieffer Moore","Bournemouth","1","0","Current player"
"Ilya Zabarnyi","Bournemouth","1","0","Current player"
"Ryan Christie","Bournemouth","0","5","Current player"
"Lewis Cook","Bournemouth","0","3","Current player"
"Adam Smith","Bournemouth","0","2","Current player"
"Lloyd Kelly","Bournemouth","0","1","Current player"
"Chris Mepham","Bournemouth","0","1","Current player"
"Jaidon Anthony","Bournemouth","0","0","Current player"
"James Hill","Bournemouth","0","0","Current player"
"Hamed Junior Traoré","Bournemouth","0","0","Current player"
"Joe Rothwell","Bournemouth","0","0","Current player"
"Mark Travers","Bournemouth","0","0","Current player"
"Neto","Bournemouth","0","0","Current player"
"Justin Kluivert","Bournemouth","7","1","New player"
"Enes Ünal","Bournemouth","2","2","New player"
"Luis Sinisterra","Bournemouth","2","2","New player"
"David Brooks","Bournemouth","1","1","New player"
