"player_name","club_name","transfer_fee","goals","assists","position"
"Kai Havertz","Arsenal","75","13","7","Attack"
"Declan Rice","Arsenal","116.6","7","9","Midfield"
"Jurrien Timber","Arsenal","40","0","0","Defender"
"David Raya","Arsenal","0","0","0","Goalkeeper"
"Moussa Diaby","Aston Villa","55","6","8","Attack"
"Morgan Rogers","Aston Villa","9.4","3","1","Midfield"
"Youri Tielemans","Aston Villa","0","2","6","Midfield"
"Pau Torres","Aston Villa","33","2","0","Defender"
"Nicolò Zaniolo","Aston Villa","0","2","0","Midfield"
"Leander Dendoncker","Aston Villa","0","1","0","Midfield"
"Clément Lenglet","Aston Villa","0","0","1","Defender"
"Philippe Coutinho","Aston Villa","0","0","0","Midfield"
"Justin Kluivert","Bournemouth","10.8","7","1","Attack"
"Luis Sinisterra","Bournemouth","0","2","2","Attack"
"Enes Ünal","Bournemouth","0","2","2","Attack"
"David Brooks","Bournemouth","0","1","1","Attack"
"Alex Scott","Bournemouth","23","1","1","Midfield"
"Kieffer Moore","Bournemouth","0","1","0","Attack"
"Milos Kerkez","Bournemouth","17.87","0","1","Defender"
"Max Aarons","Bournemouth","8.1","0","1","Defender"
"Joe Rothwell","Bournemouth","0","0","0","Midfield"
"Hamed Junior Traoré","Bournemouth","0","0","0","Midfield"
"Tyler Adams","Bournemouth","26.9","0","0","Midfield"
"Andrei Radu","Bournemouth","0","0","0","Goalkeeper"
"Romain Faivre","Bournemouth","15","0","0","Midfield"
"Romain Faivre","Bournemouth","0","0","0","Midfield"
"Mark Travers","Bournemouth","0","0","0","Goalkeeper"
"Hamed Junior Traoré","Bournemouth","25.62","0","0","Midfield"
"James Hill","Bournemouth","0","0","0","Defender"
"Jaidon Anthony","Bournemouth","0","0","0","Attack"
"Neal Maupay","Brentford","0","6","3","Attack"
"Kevin Schade","Brentford","25","2","1","Attack"
"Nathan Collins","Brentford","26.85","1","1","Defender"
"Sergio Reguilón","Brentford","0","0","4","Defender"
"Mark Flekken","Brentford","13","0","1","Goalkeeper"
"Myles Peart-Harris","Brentford","0","0","0","Midfield"
"João Pedro","Brighton","34.2","9","3","Attack"
"Ansu Fati","Brighton","0","2","0","Attack"
"James Milner","Brighton","0","0","2","Midfield"
"Mahmoud Dahoud","Brighton","0","0","1","Midfield"
"Carlos Baleba","Brighton","27","0","0","Midfield"
"Bart Verbruggen","Brighton","20","0","0","Goalkeeper"
"Igor","Brighton","16.15","0","0","Defender"
"Valentín Barco","Brighton","9.15","0","0","Defender"
"Jacob Bruun Larsen","Burnley","0","6","0","Attack"
"Zeki Amdouni","Burnley","18.6","5","1","Attack"
"David Datro Fofana","Burnley","0","4","1","Attack"
"Dara O'Shea","Burnley","7.8","3","4","Defender"
"Wilson Odobert","Burnley","12","3","3","Attack"
"Lorenz Assignon","Burnley","0","1","2","Defender"
"Sander Berge","Burnley","13.9","1","2","Midfield"
"Luca Koleosho","Burnley","3","1","1","Attack"
"Jordan Beyer","Burnley","15","0","1","Defender"
"Aaron Ramsey","Burnley","16.45","0","0","Midfield"
"Anass Zaroury","Burnley","0","0","0","Midfield"
"Connor Roberts","Burnley","0","0","0","Defender"
"Han-Noah Massengo","Burnley","0","0","0","Midfield"
"Hannes Delcroix","Burnley","3","0","0","Defender"
"James Trafford","Burnley","17.3","0","0","Goalkeeper"
"Maxime Estève","Burnley","0","0","0","Defender"
"Michael Obafemi","Burnley","0","0","0","Attack"
